price,region,locality,type,bedrooms,bathrooms,area,rooms
995000,Sliema and St Julians Surroundings,St Julian's,Penthouse,2,3,180,9
2350000,South,Marsascala,Villa Detached,3,4,1050,10
495000,Sliema and St Julians Surroundings,St Julian's,Apartment Duplex,3,3,188,10
287000,South,Ghaxaq,Maisonette Solitary,3,1,120,7
260000,Central,Balzan,Apartment,3,2,153,7
185000,North,Qawra,Apartment,2,2,90,5
340000,Central,Siggiewi,Apartment,3,1,170,7
210000,Sliema and St Julians Surroundings,Swatar,Penthouse,2,1,75,4
310000,Central,Birkirkara,Penthouse,3,1,125,6
250000,South,Zejtun,Penthouse,2,1,106,5
235000,Sliema and St Julians Surroundings,Sliema,Apartment,3,1,105,6
215000,Central,Qormi,Apartment,3,2,140,8
205000,South,Marsascala,Apartment,3,2,97,7
485000,South,Marsaxlokk,Penthouse,3,2,195,9
2250000,Sliema and St Julians Surroundings,Sliema,Penthouse,3,3,447,11
425000,Sliema and St Julians Surroundings,Sliema,Townhouse,2,2,192,8
850000,North,Xemxija,Penthouse,3,2,203,6
189000,South,Marsascala,Apartment,2,1,90,6
435000,Sliema and St Julians Surroundings,Ta' l-Ibragg,Apartment,2,1,154,6
1600000,Sliema and St Julians Surroundings,St Julian's,Penthouse Duplex,4,3,355,11
220000,Central,Balzan,Apartment,2,2,106,6
595000,Sliema and St Julians Surroundings,Ta' l-Ibragg,Penthouse,3,2,176,6
266000,Central,Santa Venera,Apartment,3,2,214,8
490000,Sliema and St Julians Surroundings,San Gwann,Maisonette,3,2,125,6
210000,South,Qrendi,Maisonette,3,1,110,5
220000,Central,Hamrun,Maisonette,2,2,146,9
202000,South,Zabbar,Apartment,3,2,129,6
550000,Sliema and St Julians Surroundings,Sliema,Penthouse,2,1,167,5
1290000,South,Vittoriosa,Palazzino,12,4,400,17
360000,South,Zejtun,Townhouse,5,6,483,17
213000,South,Zabbar,Apartment,3,2,129,6
207500,South,Zabbar,Apartment,3,2,129,6
192000,South,Marsascala,Apartment,3,2,94,7
365000,Sliema and St Julians Surroundings,Sliema,Apartment,2,3,127,6
455000,Sliema and St Julians Surroundings,St Julian's,Apartment,2,0,79,2
420000,Sliema and St Julians Surroundings,St Julian's,Apartment,2,0,96,2
415000,Sliema and St Julians Surroundings,St Julian's,Apartment,2,0,96,2
510000,Sliema and St Julians Surroundings,St Julian's,Apartment,2,0,101,2
385000,Sliema and St Julians Surroundings,St Julian's,Apartment,2,0,97,2
350000,Sliema and St Julians Surroundings,Sliema,Apartment,2,2,109,5
250000,South,Zejtun,Maisonette Solitary,3,2,81,5
550000,Sliema and St Julians Surroundings,St Julian's,Apartment,1,1,67,2
550000,Sliema and St Julians Surroundings,St Julian's,Apartment,1,1,64,2
520000,Sliema and St Julians Surroundings,St Julian's,Apartment,1,1,69,2
345000,South,Senglea,House of Character,3,2,180,7
240000,South,Zabbar,Penthouse,2,0,129,3
295000,Sliema and St Julians Surroundings,Sliema,Apartment,1,1,109,3
325000,Sliema and St Julians Surroundings,Sliema,Apartment,2,2,95,6
480000,Sliema and St Julians Surroundings,St Julian's,Apartment,1,2,58,4
650000,Central,Attard,Terraced House,3,3,110,8
650000,Central,Attard,Terraced House,3,3,110,8
650000,Central,Attard,Terraced House,3,3,110,8
650000,Central,Attard,Terraced House,3,3,110,8
650000,Central,Attard,Terraced House,3,3,110,8
650000,Central,Attard,Terraced House,3,3,110,8
650000,Central,Attard,Terraced House,3,3,110,8
650000,Central,Attard,Terraced House,3,3,110,8
650000,Central,Attard,Terraced House,3,3,110,8
650000,Central,Attard,Terraced House,3,3,110,8
520000,Sliema and St Julians Surroundings,St Julian's,Apartment,1,1,71,3
680000,Central,Attard,Terraced House,3,3,192,7
680000,Central,Attard,Terraced House,3,3,105,7
680000,Central,Attard,Terraced House,3,3,118,8
680000,Central,Attard,Terraced House,3,4,130,9
680000,Central,Attard,Terraced House,3,4,145,10
680000,Central,Attard,Terraced House,3,2,136,8
720000,Central,Attard,Terraced House,3,3,119,7
720000,Central,Attard,Terraced House,3,3,135,7
720000,Central,Attard,Terraced House,3,3,150,10
750000,Central,Attard,Terraced House,3,3,130,8
760000,Central,Attard,Terraced House,3,3,161,7
850000,South,Mqabba,Farmhouse,0,0,3602,0
700000,Central,Balzan,Townhouse,3,1,390,8
271000,Central,Balzan,Apartment,2,2,108,6
295000,North,Bugibba,Maisonette,3,2,200,7
695000,Sliema and St Julians Surroundings,Fort Cambridge,Apartment,3,2,183,6
290000,North,Mellieha,Apartment,2,2,78,5
520000,Sliema and St Julians Surroundings,Sliema,Townhouse,2,2,150,7
1295000,Sliema and St Julians Surroundings,St Julian's,Apartment,2,3,139,7
235000,Central,Santa Venera,Apartment,3,2,130,6
525000,Gozo,Gozo - Xaghra,Penthouse,2,2,170,5
535000,Central,Gharghur,House of Character,3,2,115,10
275000,Central,Zebbug,Apartment,3,2,114,6
3600000,Central,Iklin,Farmhouse,3,3,4250,11
375000,South,Cospicua,Townhouse,2,2,155,7
360000,Central,Naxxar,Apartment,3,2,160,7
170000,North,St Paul's Bay,Apartment,2,1,76,4
510000,Sliema and St Julians Surroundings,Fort Cambridge,Apartment,1,1,89,3
590000,Sliema and St Julians Surroundings,Portomaso,Apartment,2,2,105,5
1580000,Sliema and St Julians Surroundings,St Julian's,Villa Semi-detached,4,3,680,11
240000,North,Qawra,Apartment,3,2,125,8
1599000,Sliema and St Julians Surroundings,Tigne Point,Apartment,3,3,185,9
260000,Central,Birkirkara,Maisonette,3,1,128,6
495000,Sliema and St Julians Surroundings,St Julian's,Apartment,3,2,190,8
278000,Sliema and St Julians Surroundings,Swieqi,Apartment,3,2,117,8
3200000,Central,Naxxar,Farmhouse,3,2,3200,8
270000,Central,Santa Venera,Apartment,2,2,90,5
190000,Central,Santa Venera,Penthouse,1,2,95,5
199000,Central,Santa Venera,Apartment,2,2,110,6
1295000,North,Santa Maria Estate,Villa Semi-detached,3,4,0,7
1695000,Sliema and St Julians Surroundings,Tigne Point,Apartment,3,2,226,8
1550000,Sliema and St Julians Surroundings,Tigne Point,Apartment,3,2,178,8
198000,Gozo,Gozo - Gharb,Apartment,2,2,124,5
390000,Sliema and St Julians Surroundings,Sliema,Apartment,2,2,135,7
450000,Gozo,Gozo - Fort Chambray,Maisonette Duplex,3,2,168,7
365000,Gozo,Gozo - Kercem,House of Character,2,3,168,10
210000,Gozo,Gozo - Xlendi,Apartment,2,2,77,5
435000,Gozo,Gozo - Fort Chambray,Maisonette Duplex,3,2,201,7
450000,Sliema and St Julians Surroundings,San Gwann,Penthouse,3,1,115,6
225000,South,Cospicua,Maisonette Duplex,1,3,105,8
1200000,Sliema and St Julians Surroundings,Sliema,Penthouse,3,2,250,7
2350000,Sliema and St Julians Surroundings,Tigne Point,Apartment,4,3,0,11
825000,Sliema and St Julians Surroundings,St Julian's,Penthouse,3,3,174,9
840000,Sliema and St Julians Surroundings,Sliema,Townhouse,3,0,300,6
187000,Gozo,Gozo - Ghajnsielem,Apartment,3,2,101,6
1295000,Central,San Pawl tat Targa,Villa Detached,3,3,297,9
2550000,Sliema and St Julians Surroundings,Sliema,Penthouse,3,2,435,10
350000,North,Bahrija,Apartment,3,2,158,7
250000,Gozo,Gozo - Marsalforn,Apartment,3,2,133,6
950000,Central,Lija,House of Character,3,4,635,13
395000,Sliema and St Julians Surroundings,Sliema,Apartment,3,2,122,7
240000,Sliema and St Julians Surroundings,Swieqi,Maisonette,2,1,80,4
340000,North,Rabat,Apartment,3,2,151,9
525000,Sliema and St Julians Surroundings,Gzira,Apartment,1,2,76,5
170000,North,Qawra,Apartment,2,0,84,4
390000,Central,Mosta,Maisonette,2,2,118,7
199000,Central,Santa Venera,Apartment,3,2,119,7
250000,Sliema and St Julians Surroundings,St Julian's,Apartment,2,2,95,5
320000,Central,Attard,Penthouse,2,2,85,6
198000,Gozo,Gozo - Marsalforn,Apartment,2,1,68,5
335000,Sliema and St Julians Surroundings,Gzira,Apartment,3,2,120,6
240000,Central,Birkirkara,Apartment,3,2,89,6
215000,Central,Hamrun,Townhouse,2,2,110,6
2500000,Gozo,Gozo - Xlendi,Villa Detached,3,3,1870,11
170000,Sliema and St Julians Surroundings,Msida,Apartment,1,1,65,3
50000,Sliema and St Julians Surroundings,Sliema,Parking Space,0,0,25,0
30000,Central,Santa Venera,Garage (Residential),0,0,19,0
450000,Sliema and St Julians Surroundings,Swieqi,Apartment,3,2,127,6
385000,North,Dingli,Townhouse,2,2,88,7
365000,Central,Balzan,Apartment,3,2,128,8
340000,Sliema and St Julians Surroundings,Gzira,Apartment,3,2,127,8
550000,North,Rabat,House of Character,4,4,220,11
280000,Central,Birkirkara,Apartment,3,2,145,8
425000,Central,Birkirkara,Townhouse,4,2,190,8
320000,Central,Zebbug,Townhouse,3,1,157,6
410000,Central,Santa Venera,Maisonette,3,2,130,7
215000,North,Bugibba,Apartment,3,2,92,7
535000,South,Birzebbuga,Maisonette,3,2,120,7
320000,Central,Qormi,Maisonette,3,2,170,7
1600000,Central,Gharghur,House of Character,4,3,430,12
280000,South,Paola,Townhouse,2,3,120,11
